,suicide_country,suicide_year,sex,age,suicides_no,population,suicides/100k pop,gdp_for_year ($),gdp_per_capita ($),Generation,WHR2018Chapter2OnlineData_country,WHR2018Chapter2OnlineData_year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate).1
987,Bulgaria,2013,female,35-54 years,41,1012070,4.05,55758754072,8057,Generation X,Bulgaria,2013,3.993020535,9.680171967,0.829132318,66.76789856,0.60321337,-0.196925789,0.9620470999999999,0.622750044,0.278313011,0.17089231300000002,0.253990591,0.08163809,2.11749053,0.530297935,0.35466666700000005
988,Bulgaria,2013,female,25-34 years,12,477076,2.52,55758754072,8057,Millenials,Bulgaria,2013,3.993020535,9.680171967,0.829132318,66.76789856,0.60321337,-0.196925789,0.9620470999999999,0.622750044,0.278313011,0.17089231300000002,0.253990591,0.08163809,2.11749053,0.530297935,0.35466666700000005
989,Bulgaria,2013,female,15-24 years,6,374785,1.6,55758754072,8057,Millenials,Bulgaria,2013,3.993020535,9.680171967,0.829132318,66.76789856,0.60321337,-0.196925789,0.9620470999999999,0.622750044,0.278313011,0.17089231300000002,0.253990591,0.08163809,2.11749053,0.530297935,0.35466666700000005
990,Bulgaria,2013,female,5-14 years,1,315034,0.32,55758754072,8057,Generation Z,Bulgaria,2013,3.993020535,9.680171967,0.829132318,66.76789856,0.60321337,-0.196925789,0.9620470999999999,0.622750044,0.278313011,0.17089231300000002,0.253990591,0.08163809,2.11749053,0.530297935,0.35466666700000005
991,Bulgaria,2013,male,5-14 years,1,333559,0.3,55758754072,8057,Generation Z,Bulgaria,2013,3.993020535,9.680171967,0.829132318,66.76789856,0.60321337,-0.196925789,0.9620470999999999,0.622750044,0.278313011,0.17089231300000002,0.253990591,0.08163809,2.11749053,0.530297935,0.35466666700000005
992,Bulgaria,2014,male,75+ years,120,227129,52.83,56731990232,8241,Silent,Bulgaria,2014,4.4384398460000005,9.699056625,0.885949194,66.4154892,0.575595915,-0.060511670999999996,0.9546369309999999,0.627810121,0.235593721,0.140402734,0.222501963,0.08854121,1.997746468,0.45010104799999995,0.35466666700000005
993,Bulgaria,2014,male,55-74 years,194,833666,23.27,56731990232,8241,Boomers,Bulgaria,2014,4.4384398460000005,9.699056625,0.885949194,66.4154892,0.575595915,-0.060511670999999996,0.9546369309999999,0.627810121,0.235593721,0.140402734,0.222501963,0.08854121,1.997746468,0.45010104799999995,0.35466666700000005
994,Bulgaria,2014,female,75+ years,67,382347,17.52,56731990232,8241,Silent,Bulgaria,2014,4.4384398460000005,9.699056625,0.885949194,66.4154892,0.575595915,-0.060511670999999996,0.9546369309999999,0.627810121,0.235593721,0.140402734,0.222501963,0.08854121,1.997746468,0.45010104799999995,0.35466666700000005
995,Bulgaria,2014,male,35-54 years,156,1052572,14.82,56731990232,8241,Generation X,Bulgaria,2014,4.4384398460000005,9.699056625,0.885949194,66.4154892,0.575595915,-0.060511670999999996,0.9546369309999999,0.627810121,0.235593721,0.140402734,0.222501963,0.08854121,1.997746468,0.45010104799999995,0.35466666700000005
996,Bulgaria,2014,male,25-34 years,47,508827,9.24,56731990232,8241,Millenials,Bulgaria,2014,4.4384398460000005,9.699056625,0.885949194,66.4154892,0.575595915,-0.060511670999999996,0.9546369309999999,0.627810121,0.235593721,0.140402734,0.222501963,0.08854121,1.997746468,0.45010104799999995,0.35466666700000005
997,Bulgaria,2014,male,15-24 years,33,378681,8.71,56731990232,8241,Millenials,Bulgaria,2014,4.4384398460000005,9.699056625,0.885949194,66.4154892,0.575595915,-0.060511670999999996,0.9546369309999999,0.627810121,0.235593721,0.140402734,0.222501963,0.08854121,1.997746468,0.45010104799999995,0.35466666700000005
998,Bulgaria,2014,female,55-74 years,54,1005439,5.37,56731990232,8241,Boomers,Bulgaria,2014,4.4384398460000005,9.699056625,0.885949194,66.4154892,0.575595915,-0.060511670999999996,0.9546369309999999,0.627810121,0.235593721,0.140402734,0.222501963,0.08854121,1.997746468,0.45010104799999995,0.35466666700000005
999,Bulgaria,2014,female,35-54 years,33,1009528,3.27,56731990232,8241,Generation X,Bulgaria,2014,4.4384398460000005,9.699056625,0.885949194,66.4154892,0.575595915,-0.060511670999999996,0.9546369309999999,0.627810121,0.235593721,0.140402734,0.222501963,0.08854121,1.997746468,0.45010104799999995,0.35466666700000005
1000,Bulgaria,2014,female,25-34 years,13,472176,2.75,56731990232,8241,Millenials,Bulgaria,2014,4.4384398460000005,9.699056625,0.885949194,66.4154892,0.575595915,-0.060511670999999996,0.9546369309999999,0.627810121,0.235593721,0.140402734,0.222501963,0.08854121,1.997746468,0.45010104799999995,0.35466666700000005
1001,Bulgaria,2014,female,15-24 years,5,356406,1.4,56731990232,8241,Millenials,Bulgaria,2014,4.4384398460000005,9.699056625,0.885949194,66.4154892,0.575595915,-0.060511670999999996,0.9546369309999999,0.627810121,0.235593721,0.140402734,0.222501963,0.08854121,1.997746468,0.45010104799999995,0.35466666700000005
1002,Bulgaria,2014,male,5-14 years,2,337969,0.59,56731990232,8241,Generation Z,Bulgaria,2014,4.4384398460000005,9.699056625,0.885949194,66.4154892,0.575595915,-0.060511670999999996,0.9546369309999999,0.627810121,0.235593721,0.140402734,0.222501963,0.08854121,1.997746468,0.45010104799999995,0.35466666700000005
1003,Bulgaria,2014,female,5-14 years,0,319134,0.0,56731990232,8241,Generation Z,Bulgaria,2014,4.4384398460000005,9.699056625,0.885949194,66.4154892,0.575595915,-0.060511670999999996,0.9546369309999999,0.627810121,0.235593721,0.140402734,0.222501963,0.08854121,1.997746468,0.45010104799999995,0.35466666700000005
1004,Canada,2005,male,35-54 years,1341,5018957,26.72,1.17E+12,38218,Boomers,Canada,2005,7.418048382,10.60834694,0.9615524409999999,70.50089264,0.9573062659999999,0.238196388,0.502681196,0.8385437729999999,0.233278155,0.442817539,1.168248773,1.748818517,1.636803508,0.220651507,0.3368
1005,Canada,2005,male,75+ years,165,772032,21.37,1.17E+12,38218,Boomers,Canada,2005,7.418048382,10.60834694,0.9615524409999999,70.50089264,0.9573062659999999,0.238196388,0.502681196,0.8385437729999999,0.233278155,0.442817539,1.168248773,1.748818517,1.636803508,0.220651507,0.3368
1006,Canada,2005,male,55-74 years,539,2802901,19.23,1.17E+12,38218,Boomers,Canada,2005,7.418048382,10.60834694,0.9615524409999999,70.50089264,0.9573062659999999,0.238196388,0.502681196,0.8385437729999999,0.233278155,0.442817539,1.168248773,1.748818517,1.636803508,0.220651507,0.3368
1007,Canada,2005,male,25-34 years,415,2236320,18.56,1.17E+12,38218,Boomers,Canada,2005,7.418048382,10.60834694,0.9615524409999999,70.50089264,0.9573062659999999,0.238196388,0.502681196,0.8385437729999999,0.233278155,0.442817539,1.168248773,1.748818517,1.636803508,0.220651507,0.3368
1008,Canada,2005,male,15-24 years,378,2249377,16.8,1.17E+12,38218,Boomers,Canada,2005,7.418048382,10.60834694,0.9615524409999999,70.50089264,0.9573062659999999,0.238196388,0.502681196,0.8385437729999999,0.233278155,0.442817539,1.168248773,1.748818517,1.636803508,0.220651507,0.3368
1009,Canada,2005,female,35-54 years,418,5018764,8.33,1.17E+12,38218,Boomers,Canada,2005,7.418048382,10.60834694,0.9615524409999999,70.50089264,0.9573062659999999,0.238196388,0.502681196,0.8385437729999999,0.233278155,0.442817539,1.168248773,1.748818517,1.636803508,0.220651507,0.3368
1010,Canada,2005,female,15-24 years,131,2144094,6.11,1.17E+12,38218,Boomers,Canada,2005,7.418048382,10.60834694,0.9615524409999999,70.50089264,0.9573062659999999,0.238196388,0.502681196,0.8385437729999999,0.233278155,0.442817539,1.168248773,1.748818517,1.636803508,0.220651507,0.3368
1011,Canada,2005,female,55-74 years,158,2961910,5.33,1.17E+12,38218,Boomers,Canada,2005,7.418048382,10.60834694,0.9615524409999999,70.50089264,0.9573062659999999,0.238196388,0.502681196,0.8385437729999999,0.233278155,0.442817539,1.168248773,1.748818517,1.636803508,0.220651507,0.3368
1012,Canada,2005,female,75+ years,58,1211769,4.79,1.17E+12,38218,Boomers,Canada,2005,7.418048382,10.60834694,0.9615524409999999,70.50089264,0.9573062659999999,0.238196388,0.502681196,0.8385437729999999,0.233278155,0.442817539,1.168248773,1.748818517,1.636803508,0.220651507,0.3368
1013,Canada,2005,female,25-34 years,96,2188897,4.39,1.17E+12,38218,Boomers,Canada,2005,7.418048382,10.60834694,0.9615524409999999,70.50089264,0.9573062659999999,0.238196388,0.502681196,0.8385437729999999,0.233278155,0.442817539,1.168248773,1.748818517,1.636803508,0.220651507,0.3368
1014,Canada,2005,female,5-14 years,25,1947297,1.28,1.17E+12,38218,Boomers,Canada,2005,7.418048382,10.60834694,0.9615524409999999,70.50089264,0.9573062659999999,0.238196388,0.502681196,0.8385437729999999,0.233278155,0.442817539,1.168248773,1.748818517,1.636803508,0.220651507,0.3368
1015,Canada,2005,male,5-14 years,19,2044772,0.93,1.17E+12,38218,Boomers,Canada,2005,7.418048382,10.60834694,0.9615524409999999,70.50089264,0.9573062659999999,0.238196388,0.502681196,0.8385437729999999,0.233278155,0.442817539,1.168248773,1.748818517,1.636803508,0.220651507,0.3368
1028,Canada,2008,male,35-54 years,1241,5076969,24.44,1.55E+12,49041,Boomers,Canada,2008,7.485603809,10.63612556,0.938707411,70.85425568,0.92631495,0.24758231600000002,0.369587809,0.8902197479999999,0.202174947,0.590370953,1.224689126,1.8133743999999998,1.615552664,0.21582129600000002,0.3368
1029,Canada,2008,male,75+ years,192,866435,22.16,1.55E+12,49041,Boomers,Canada,2008,7.485603809,10.63612556,0.938707411,70.85425568,0.92631495,0.24758231600000002,0.369587809,0.8902197479999999,0.202174947,0.590370953,1.224689126,1.8133743999999998,1.615552664,0.21582129600000002,0.3368
1030,Canada,2008,male,55-74 years,589,3107189,18.96,1.55E+12,49041,Boomers,Canada,2008,7.485603809,10.63612556,0.938707411,70.85425568,0.92631495,0.24758231600000002,0.369587809,0.8902197479999999,0.202174947,0.590370953,1.224689126,1.8133743999999998,1.615552664,0.21582129600000002,0.3368
1031,Canada,2008,male,25-34 years,395,2286010,17.28,1.55E+12,49041,Boomers,Canada,2008,7.485603809,10.63612556,0.938707411,70.85425568,0.92631495,0.24758231600000002,0.369587809,0.8902197479999999,0.202174947,0.590370953,1.224689126,1.8133743999999998,1.615552664,0.21582129600000002,0.3368
1032,Canada,2008,male,15-24 years,344,2341539,14.69,1.55E+12,49041,Boomers,Canada,2008,7.485603809,10.63612556,0.938707411,70.85425568,0.92631495,0.24758231600000002,0.369587809,0.8902197479999999,0.202174947,0.590370953,1.224689126,1.8133743999999998,1.615552664,0.21582129600000002,0.3368
1033,Canada,2008,female,35-54 years,413,5038500,8.2,1.55E+12,49041,Boomers,Canada,2008,7.485603809,10.63612556,0.938707411,70.85425568,0.92631495,0.24758231600000002,0.369587809,0.8902197479999999,0.202174947,0.590370953,1.224689126,1.8133743999999998,1.615552664,0.21582129600000002,0.3368
1034,Canada,2008,female,55-74 years,231,3276332,7.05,1.55E+12,49041,Boomers,Canada,2008,7.485603809,10.63612556,0.938707411,70.85425568,0.92631495,0.24758231600000002,0.369587809,0.8902197479999999,0.202174947,0.590370953,1.224689126,1.8133743999999998,1.615552664,0.21582129600000002,0.3368
1035,Canada,2008,female,15-24 years,119,2227003,5.34,1.55E+12,49041,Boomers,Canada,2008,7.485603809,10.63612556,0.938707411,70.85425568,0.92631495,0.24758231600000002,0.369587809,0.8902197479999999,0.202174947,0.590370953,1.224689126,1.8133743999999998,1.615552664,0.21582129600000002,0.3368
1036,Canada,2008,female,25-34 years,118,2251723,5.24,1.55E+12,49041,Boomers,Canada,2008,7.485603809,10.63612556,0.938707411,70.85425568,0.92631495,0.24758231600000002,0.369587809,0.8902197479999999,0.202174947,0.590370953,1.224689126,1.8133743999999998,1.615552664,0.21582129600000002,0.3368
1037,Canada,2008,female,75+ years,38,1296269,2.93,1.55E+12,49041,Boomers,Canada,2008,7.485603809,10.63612556,0.938707411,70.85425568,0.92631495,0.24758231600000002,0.369587809,0.8902197479999999,0.202174947,0.590370953,1.224689126,1.8133743999999998,1.615552664,0.21582129600000002,0.3368
1038,Canada,2008,male,5-14 years,16,1959155,0.82,1.55E+12,49041,Boomers,Canada,2008,7.485603809,10.63612556,0.938707411,70.85425568,0.92631495,0.24758231600000002,0.369587809,0.8902197479999999,0.202174947,0.590370953,1.224689126,1.8133743999999998,1.615552664,0.21582129600000002,0.3368
1039,Canada,2008,female,5-14 years,9,1861517,0.48,1.55E+12,49041,Boomers,Canada,2008,7.485603809,10.63612556,0.938707411,70.85425568,0.92631495,0.24758231600000002,0.369587809,0.8902197479999999,0.202174947,0.590370953,1.224689126,1.8133743999999998,1.615552664,0.21582129600000002,0.3368
1040,Canada,2009,male,35-54 years,1328,5085328,26.11,1.37E+12,42933,Boomers,Canada,2009,7.48782444,10.59473801,0.94284451,71.07483673,0.915057838,0.23248428100000001,0.412622124,0.867432535,0.247633159,0.608264029,1.264292479,1.827808738,1.612508059,0.21535067300000002,0.3368
1041,Canada,2009,male,55-74 years,680,3216246,21.14,1.37E+12,42933,Boomers,Canada,2009,7.48782444,10.59473801,0.94284451,71.07483673,0.915057838,0.23248428100000001,0.412622124,0.867432535,0.247633159,0.608264029,1.264292479,1.827808738,1.612508059,0.21535067300000002,0.3368
1042,Canada,2009,male,75+ years,182,893202,20.38,1.37E+12,42933,Boomers,Canada,2009,7.48782444,10.59473801,0.94284451,71.07483673,0.915057838,0.23248428100000001,0.412622124,0.867432535,0.247633159,0.608264029,1.264292479,1.827808738,1.612508059,0.21535067300000002,0.3368
1043,Canada,2009,male,25-34 years,437,2325144,18.79,1.37E+12,42933,Boomers,Canada,2009,7.48782444,10.59473801,0.94284451,71.07483673,0.915057838,0.23248428100000001,0.412622124,0.867432535,0.247633159,0.608264029,1.264292479,1.827808738,1.612508059,0.21535067300000002,0.3368
1044,Canada,2009,male,15-24 years,349,2355316,14.82,1.37E+12,42933,Boomers,Canada,2009,7.48782444,10.59473801,0.94284451,71.07483673,0.915057838,0.23248428100000001,0.412622124,0.867432535,0.247633159,0.608264029,1.264292479,1.827808738,1.612508059,0.21535067300000002,0.3368
1045,Canada,2009,female,35-54 years,402,5043261,7.97,1.37E+12,42933,Boomers,Canada,2009,7.48782444,10.59473801,0.94284451,71.07483673,0.915057838,0.23248428100000001,0.412622124,0.867432535,0.247633159,0.608264029,1.264292479,1.827808738,1.612508059,0.21535067300000002,0.3368
1046,Canada,2009,female,15-24 years,130,2238546,5.81,1.37E+12,42933,Boomers,Canada,2009,7.48782444,10.59473801,0.94284451,71.07483673,0.915057838,0.23248428100000001,0.412622124,0.867432535,0.247633159,0.608264029,1.264292479,1.827808738,1.612508059,0.21535067300000002,0.3368
1047,Canada,2009,female,55-74 years,192,3389717,5.66,1.37E+12,42933,Boomers,Canada,2009,7.48782444,10.59473801,0.94284451,71.07483673,0.915057838,0.23248428100000001,0.412622124,0.867432535,0.247633159,0.608264029,1.264292479,1.827808738,1.612508059,0.21535067300000002,0.3368
1048,Canada,2009,female,25-34 years,119,2293665,5.19,1.37E+12,42933,Boomers,Canada,2009,7.48782444,10.59473801,0.94284451,71.07483673,0.915057838,0.23248428100000001,0.412622124,0.867432535,0.247633159,0.608264029,1.264292479,1.827808738,1.612508059,0.21535067300000002,0.3368
1049,Canada,2009,female,75+ years,46,1322098,3.48,1.37E+12,42933,Boomers,Canada,2009,7.48782444,10.59473801,0.94284451,71.07483673,0.915057838,0.23248428100000001,0.412622124,0.867432535,0.247633159,0.608264029,1.264292479,1.827808738,1.612508059,0.21535067300000002,0.3368
1050,Canada,2009,male,5-14 years,13,1937420,0.67,1.37E+12,42933,Boomers,Canada,2009,7.48782444,10.59473801,0.94284451,71.07483673,0.915057838,0.23248428100000001,0.412622124,0.867432535,0.247633159,0.608264029,1.264292479,1.827808738,1.612508059,0.21535067300000002,0.3368
1051,Canada,2009,female,5-14 years,12,1837414,0.65,1.37E+12,42933,Boomers,Canada,2009,7.48782444,10.59473801,0.94284451,71.07483673,0.915057838,0.23248428100000001,0.412622124,0.867432535,0.247633159,0.608264029,1.264292479,1.827808738,1.612508059,0.21535067300000002,0.3368
1052,Canada,2010,male,35-54 years,1292,5088099,25.39,1.61E+12,49974,Generation X,Canada,2010,7.650346279,10.6139679,0.9537654520000001,71.29541779,0.933948815,0.21660664699999999,0.412659585,0.878867686,0.23311285699999998,0.551076472,1.14445734,1.838643909,1.749785304,0.22871975600000002,0.3368
1053,Canada,2010,male,75+ years,200,917671,21.79,1.61E+12,49974,Generation X,Canada,2010,7.650346279,10.6139679,0.9537654520000001,71.29541779,0.933948815,0.21660664699999999,0.412659585,0.878867686,0.23311285699999998,0.551076472,1.14445734,1.838643909,1.749785304,0.22871975600000002,0.3368
1054,Canada,2010,male,55-74 years,690,3333897,20.7,1.61E+12,49974,Generation X,Canada,2010,7.650346279,10.6139679,0.9537654520000001,71.29541779,0.933948815,0.21660664699999999,0.412659585,0.878867686,0.23311285699999998,0.551076472,1.14445734,1.838643909,1.749785304,0.22871975600000002,0.3368
1055,Canada,2010,male,25-34 years,409,2366854,17.28,1.61E+12,49974,Generation X,Canada,2010,7.650346279,10.6139679,0.9537654520000001,71.29541779,0.933948815,0.21660664699999999,0.412659585,0.878867686,0.23311285699999998,0.551076472,1.14445734,1.838643909,1.749785304,0.22871975600000002,0.3368
1056,Canada,2010,male,15-24 years,371,2357806,15.73,1.61E+12,49974,Generation X,Canada,2010,7.650346279,10.6139679,0.9537654520000001,71.29541779,0.933948815,0.21660664699999999,0.412659585,0.878867686,0.23311285699999998,0.551076472,1.14445734,1.838643909,1.749785304,0.22871975600000002,0.3368
1057,Canada,2010,female,35-54 years,402,5044926,7.97,1.61E+12,49974,Generation X,Canada,2010,7.650346279,10.6139679,0.9537654520000001,71.29541779,0.933948815,0.21660664699999999,0.412659585,0.878867686,0.23311285699999998,0.551076472,1.14445734,1.838643909,1.749785304,0.22871975600000002,0.3368
1058,Canada,2010,female,55-74 years,237,3510692,6.75,1.61E+12,49974,Generation X,Canada,2010,7.650346279,10.6139679,0.9537654520000001,71.29541779,0.933948815,0.21660664699999999,0.412659585,0.878867686,0.23311285699999998,0.551076472,1.14445734,1.838643909,1.749785304,0.22871975600000002,0.3368
1059,Canada,2010,female,25-34 years,154,2335884,6.59,1.61E+12,49974,Generation X,Canada,2010,7.650346279,10.6139679,0.9537654520000001,71.29541779,0.933948815,0.21660664699999999,0.412659585,0.878867686,0.23311285699999998,0.551076472,1.14445734,1.838643909,1.749785304,0.22871975600000002,0.3368
1060,Canada,2010,female,15-24 years,115,2239759,5.13,1.61E+12,49974,Generation X,Canada,2010,7.650346279,10.6139679,0.9537654520000001,71.29541779,0.933948815,0.21660664699999999,0.412659585,0.878867686,0.23311285699999998,0.551076472,1.14445734,1.838643909,1.749785304,0.22871975600000002,0.3368
1061,Canada,2010,female,75+ years,49,1347679,3.64,1.61E+12,49974,Generation X,Canada,2010,7.650346279,10.6139679,0.9537654520000001,71.29541779,0.933948815,0.21660664699999999,0.412659585,0.878867686,0.23311285699999998,0.551076472,1.14445734,1.838643909,1.749785304,0.22871975600000002,0.3368
1062,Canada,2010,male,5-14 years,19,1922599,0.99,1.61E+12,49974,Generation X,Canada,2010,7.650346279,10.6139679,0.9537654520000001,71.29541779,0.933948815,0.21660664699999999,0.412659585,0.878867686,0.23311285699999998,0.551076472,1.14445734,1.838643909,1.749785304,0.22871975600000002,0.3368
1063,Canada,2010,female,5-14 years,13,1820274,0.71,1.61E+12,49974,Generation X,Canada,2010,7.650346279,10.6139679,0.9537654520000001,71.29541779,0.933948815,0.21660664699999999,0.412659585,0.878867686,0.23311285699999998,0.551076472,1.14445734,1.838643909,1.749785304,0.22871975600000002,0.3368
1064,Canada,2011,male,35-54 years,1127,5074280,22.21,1.79E+12,54841,Generation X,Canada,2011,7.426053523999999,10.63502026,0.921669245,71.51599884,0.9509252909999999,0.239189044,0.432991534,0.88138485,0.24772866100000002,0.553290546,1.228660107,1.795956492,1.8194556240000002,0.245009765,0.3368
1065,Canada,2011,male,55-74 years,683,3455517,19.77,1.79E+12,54841,Generation X,Canada,2011,7.426053523999999,10.63502026,0.921669245,71.51599884,0.9509252909999999,0.239189044,0.432991534,0.88138485,0.24772866100000002,0.553290546,1.228660107,1.795956492,1.8194556240000002,0.245009765,0.3368
1066,Canada,2011,male,75+ years,184,943428,19.5,1.79E+12,54841,Generation X,Canada,2011,7.426053523999999,10.63502026,0.921669245,71.51599884,0.9509252909999999,0.239189044,0.432991534,0.88138485,0.24772866100000002,0.553290546,1.228660107,1.795956492,1.8194556240000002,0.245009765,0.3368
1067,Canada,2011,male,25-34 years,410,2400784,17.08,1.79E+12,54841,Generation X,Canada,2011,7.426053523999999,10.63502026,0.921669245,71.51599884,0.9509252909999999,0.239189044,0.432991534,0.88138485,0.24772866100000002,0.553290546,1.228660107,1.795956492,1.8194556240000002,0.245009765,0.3368
1068,Canada,2011,male,15-24 years,364,2356694,15.45,1.79E+12,54841,Generation X,Canada,2011,7.426053523999999,10.63502026,0.921669245,71.51599884,0.9509252909999999,0.239189044,0.432991534,0.88138485,0.24772866100000002,0.553290546,1.228660107,1.795956492,1.8194556240000002,0.245009765,0.3368
1069,Canada,2011,female,35-54 years,390,5032043,7.75,1.79E+12,54841,Generation X,Canada,2011,7.426053523999999,10.63502026,0.921669245,71.51599884,0.9509252909999999,0.239189044,0.432991534,0.88138485,0.24772866100000002,0.553290546,1.228660107,1.795956492,1.8194556240000002,0.245009765,0.3368
1070,Canada,2011,female,15-24 years,135,2248192,6.0,1.79E+12,54841,Generation X,Canada,2011,7.426053523999999,10.63502026,0.921669245,71.51599884,0.9509252909999999,0.239189044,0.432991534,0.88138485,0.24772866100000002,0.553290546,1.228660107,1.795956492,1.8194556240000002,0.245009765,0.3368
1071,Canada,2011,female,55-74 years,215,3629587,5.92,1.79E+12,54841,Generation X,Canada,2011,7.426053523999999,10.63502026,0.921669245,71.51599884,0.9509252909999999,0.239189044,0.432991534,0.88138485,0.24772866100000002,0.553290546,1.228660107,1.795956492,1.8194556240000002,0.245009765,0.3368
1072,Canada,2011,female,25-34 years,134,2370185,5.65,1.79E+12,54841,Generation X,Canada,2011,7.426053523999999,10.63502026,0.921669245,71.51599884,0.9509252909999999,0.239189044,0.432991534,0.88138485,0.24772866100000002,0.553290546,1.228660107,1.795956492,1.8194556240000002,0.245009765,0.3368
1073,Canada,2011,female,75+ years,55,1368680,4.02,1.79E+12,54841,Generation X,Canada,2011,7.426053523999999,10.63502026,0.921669245,71.51599884,0.9509252909999999,0.239189044,0.432991534,0.88138485,0.24772866100000002,0.553290546,1.228660107,1.795956492,1.8194556240000002,0.245009765,0.3368
1074,Canada,2011,female,5-14 years,18,1815461,0.99,1.79E+12,54841,Generation X,Canada,2011,7.426053523999999,10.63502026,0.921669245,71.51599884,0.9509252909999999,0.239189044,0.432991534,0.88138485,0.24772866100000002,0.553290546,1.228660107,1.795956492,1.8194556240000002,0.245009765,0.3368
1075,Canada,2011,male,5-14 years,13,1920567,0.68,1.79E+12,54841,Generation X,Canada,2011,7.426053523999999,10.63502026,0.921669245,71.51599884,0.9509252909999999,0.239189044,0.432991534,0.88138485,0.24772866100000002,0.553290546,1.228660107,1.795956492,1.8194556240000002,0.245009765,0.3368
1076,Canada,2012,male,35-54 years,1205,5056024,23.83,1.82E+12,55347,Generation X,Canada,2012,7.415144444,10.64052105,0.9481283429999999,71.63430023,0.9179611209999999,0.27609643300000003,0.46560183200000005,0.8567036990000001,0.229332089,0.523448169,1.275260806,1.792761922,1.77270925,0.23906604899999997,0.3368
1077,Canada,2012,male,55-74 years,770,3586361,21.47,1.82E+12,55347,Generation X,Canada,2012,7.415144444,10.64052105,0.9481283429999999,71.63430023,0.9179611209999999,0.27609643300000003,0.46560183200000005,0.8567036990000001,0.229332089,0.523448169,1.275260806,1.792761922,1.77270925,0.23906604899999997,0.3368
1078,Canada,2012,male,75+ years,180,967342,18.61,1.82E+12,55347,Generation X,Canada,2012,7.415144444,10.64052105,0.9481283429999999,71.63430023,0.9179611209999999,0.27609643300000003,0.46560183200000005,0.8567036990000001,0.229332089,0.523448169,1.275260806,1.792761922,1.77270925,0.23906604899999997,0.3368
1079,Canada,2012,male,25-34 years,419,2431632,17.23,1.82E+12,55347,Generation X,Canada,2012,7.415144444,10.64052105,0.9481283429999999,71.63430023,0.9179611209999999,0.27609643300000003,0.46560183200000005,0.8567036990000001,0.229332089,0.523448169,1.275260806,1.792761922,1.77270925,0.23906604899999997,0.3368
1080,Canada,2012,male,15-24 years,381,2358461,16.15,1.82E+12,55347,Generation X,Canada,2012,7.415144444,10.64052105,0.9481283429999999,71.63430023,0.9179611209999999,0.27609643300000003,0.46560183200000005,0.8567036990000001,0.229332089,0.523448169,1.275260806,1.792761922,1.77270925,0.23906604899999997,0.3368
1081,Canada,2012,female,35-54 years,385,5018897,7.67,1.82E+12,55347,Generation X,Canada,2012,7.415144444,10.64052105,0.9481283429999999,71.63430023,0.9179611209999999,0.27609643300000003,0.46560183200000005,0.8567036990000001,0.229332089,0.523448169,1.275260806,1.792761922,1.77270925,0.23906604899999997,0.3368
1082,Canada,2012,female,55-74 years,241,3756013,6.42,1.82E+12,55347,Generation X,Canada,2012,7.415144444,10.64052105,0.9481283429999999,71.63430023,0.9179611209999999,0.27609643300000003,0.46560183200000005,0.8567036990000001,0.229332089,0.523448169,1.275260806,1.792761922,1.77270925,0.23906604899999997,0.3368
1083,Canada,2012,female,15-24 years,137,2255895,6.07,1.82E+12,55347,Generation X,Canada,2012,7.415144444,10.64052105,0.9481283429999999,71.63430023,0.9179611209999999,0.27609643300000003,0.46560183200000005,0.8567036990000001,0.229332089,0.523448169,1.275260806,1.792761922,1.77270925,0.23906604899999997,0.3368
1084,Canada,2012,female,25-34 years,129,2403433,5.37,1.82E+12,55347,Generation X,Canada,2012,7.415144444,10.64052105,0.9481283429999999,71.63430023,0.9179611209999999,0.27609643300000003,0.46560183200000005,0.8567036990000001,0.229332089,0.523448169,1.275260806,1.792761922,1.77270925,0.23906604899999997,0.3368
1085,Canada,2012,female,75+ years,45,1389078,3.24,1.82E+12,55347,Generation X,Canada,2012,7.415144444,10.64052105,0.9481283429999999,71.63430023,0.9179611209999999,0.27609643300000003,0.46560183200000005,0.8567036990000001,0.229332089,0.523448169,1.275260806,1.792761922,1.77270925,0.23906604899999997,0.3368
1086,Canada,2012,female,5-14 years,17,1816079,0.94,1.82E+12,55347,Generation X,Canada,2012,7.415144444,10.64052105,0.9481283429999999,71.63430023,0.9179611209999999,0.27609643300000003,0.46560183200000005,0.8567036990000001,0.229332089,0.523448169,1.275260806,1.792761922,1.77270925,0.23906604899999997,0.3368
1087,Canada,2012,male,5-14 years,17,1921981,0.88,1.82E+12,55347,Generation X,Canada,2012,7.415144444,10.64052105,0.9481283429999999,71.63430023,0.9179611209999999,0.27609643300000003,0.46560183200000005,0.8567036990000001,0.229332089,0.523448169,1.275260806,1.792761922,1.77270925,0.23906604899999997,0.3368
1088,Canada,2013,male,35-54 years,1244,5032714,24.72,1.84E+12,55310,Generation X,Canada,2013,7.593793869,10.65338516,0.936239362,71.79985046,0.9160138959999999,0.301622629,0.406236142,0.8512969020000001,0.262850314,0.505976021,1.257454157,1.79271102,1.658059239,0.21834398800000002,0.3368
